porto_zone_id,casablanca_zone_id,zone_type,lon,lat
1,1,residential,-8.706,41.149
2,2,commercial,-8.678,41.149
3,3,residential,-8.649,41.149
4,4,commercial,-8.621,41.149
5,5,residential,-8.593,41.149
6,6,commercial,-8.564,41.149
7,7,residential,-8.706,41.166
8,8,commercial,-8.678,41.166
9,9,residential,-8.649,41.166
10,10,commercial,-8.621,41.166
11,11,residential,-8.593,41.166
12,12,commercial,-8.564,41.166
13,13,residential,-8.706,41.184
14,14,commercial,-8.678,41.184
15,15,residential,-8.649,41.184
16,16,commercial,-8.621,41.184
17,1,residential,-8.593,41.184
18,2,commercial,-8.564,41.184
19,3,residential,-8.706,41.201
20,4,commercial,-8.678,41.201
21,5,residential,-8.649,41.201
22,6,commercial,-8.621,41.201
